State,Population,Population Density Index,Category
Andhra Pradesh,84581,0.4215,Moderate Population State
Arunachal Pradesh,1384,0.0039,Low Population State
Assam,31206,0.1536,Low Population State
Bihar,104099,0.5195,High Population State
Chhattisgarh,25545,0.1252,Low Population State
Goa,1459,0.0043,Low Population State
Gujarat,60440,0.3003,Moderate Population State
Haryana,25351,0.1242,Low Population State
Himachal Pradesh,6865,0.0314,Low Population State
Jammu and Kashmir,12541,0.0599,Low Population State
Jharkhand,32988,0.1625,Low Population State
Karnataka,61095,0.3036,Moderate Population State
Kerala,33406,0.1646,Low Population State
Madhya Pradesh,72627,0.3615,Moderate Population State
Maharashtra,112374,0.5611,High Population State
Manipur,2856,0.0113,Low Population State
Meghalaya,2967,0.0118,Low Population State
Mizoram,1097,0.0024,Low Population State
Nagaland,1979,0.0069,Low Population State
Odisha,41974,0.2076,Low Population State
Punjab,27743,0.1362,Low Population State
Rajasthan,68548,0.3410,Moderate Population State
Sikkim,611,0.0000,Low Population State
Tamil Nadu,72147,0.3591,Moderate Population State
Tripura,3674,0.0154,Low Population State
Uttar Pradesh,199812,1.0000,High Population State
Uttarakhand,10086,0.0476,Low Population State
West Bengal,91276,0.4551,Moderate Population State
