State,Annual Rainfall,Rainfall Sufficiency Index,Category
Andhra Pradesh,1050.3043,0.1815,Low Rainfall Zone
Arunachal,3403.9591,1.0000,High Rainfall Zone
Assam,2579.1333,0.7132,High Rainfall Zone
Bihar,1196.5632,0.2323,Low Rainfall Zone
Chattisgarh,1369.1368,0.2924,Low Rainfall Zone
Goa,2987.5316,0.8552,High Rainfall Zone
Gujarat,917.8274,0.1354,Low Rainfall Zone
Haryana,528.4393,0.0000,Low Rainfall Zone
Himachal Pradesh,1256.7812,0.2533,Low Rainfall Zone
Jammu & Kashmir,1138.8422,0.2123,Low Rainfall Zone
Jharkhand,1307.6897,0.2710,Low Rainfall Zone
Karnataka,3397.6379,0.9978,High Rainfall Zone
Kerala,2914.2470,0.8297,High Rainfall Zone
Madhya Pradesh,1203.0350,0.2346,Low Rainfall Zone
Maharashtra,881.4316,0.1228,Low Rainfall Zone
Manipur,2432.7179,0.6622,High Rainfall Zone
Meghalaya,2432.7179,0.6622,High Rainfall Zone
Mizoram,2432.7179,0.6622,High Rainfall Zone
Nagaland,2432.7179,0.6622,High Rainfall Zone
Odhisha,1455.4487,0.3224,Low Rainfall Zone
Punjab,591.4368,0.0219,Low Rainfall Zone
Rajasthan,656.5017,0.0445,Low Rainfall Zone
Sikkim,2750.5530,0.7728,High Rainfall Zone
Tamil Nadu,940.4701,0.1433,Low Rainfall Zone
Uttar Pradesh,975.8650,0.1556,Low Rainfall Zone
Uttarakhand,1464.4419,0.3255,Low Rainfall Zone
Tripura,2432.7179,0.6622,High Rainfall Zone
West Bengal,2750.5530,0.7728,High Rainfall Zone
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
