year,temp_difference
1880,-0.17
1881,-0.09
1882,-0.11
1883,-0.18
1884,-0.28
1885,-0.33
1886,-0.31
1887,-0.36
1888,-0.17
1889,-0.11
1890,-0.35
1891,-0.22
1892,-0.27
1893,-0.31
1894,-0.31
1895,-0.23
1896,-0.11
1897,-0.11
1898,-0.28
1899,-0.18
1900,-0.08
1901,-0.15
1902,-0.28
1903,-0.37
1904,-0.47
1905,-0.26
1906,-0.22
1907,-0.38
1908,-0.42
1909,-0.48
1910,-0.43
1911,-0.44
1912,-0.36
1913,-0.34
1914,-0.15
1915,-0.14
1916,-0.36
1917,-0.46
1918,-0.3
1919,-0.28
1920,-0.27
1921,-0.19
1922,-0.28
1923,-0.26
1924,-0.27
1925,-0.22
1926,-0.1
1927,-0.21
1928,-0.2
1929,-0.36
1930,-0.15
1931,-0.09
1932,-0.16
1933,-0.28
1934,-0.12
1935,-0.19
1936,-0.14
1937,-0.02
1938,0.0
1939,-0.02
1940,0.13
1941,0.19
1942,0.07
1943,0.09
1944,0.21
1945,0.09
1946,-0.07
1947,-0.02
1948,-0.1
1949,-0.11
1950,-0.17
1951,-0.07
1952,0.01
1953,0.08
1954,-0.13
1955,-0.14
1956,-0.19
1957,0.05
1958,0.06
1959,0.03
1960,-0.02
1961,0.06
1962,0.03
1963,0.05
1964,-0.2
1965,-0.11
1966,-0.06
1967,-0.02
1968,-0.08
1969,0.05
1970,0.03
1971,-0.08
1972,0.01
1973,0.16
1974,-0.07
1975,-0.01
1976,-0.1
1977,0.18
1978,0.07
1979,0.16
1980,0.26
1981,0.32
1982,0.14
1983,0.31
1984,0.16
1985,0.12
1986,0.18
1987,0.32
1988,0.39
1989,0.27
1990,0.45
1991,0.4
1992,0.22
1993,0.23
1994,0.31
1995,0.44
1996,0.33
1997,0.47
1998,0.61
1999,0.38
2000,0.39
2001,0.53
2002,0.63
2003,0.62
2004,0.53
2005,0.68
2006,0.64
2007,0.66
2008,0.54
2009,0.65
2010,0.72
2011,0.61
2012,0.65
2013,0.68
2014,0.75
2015,0.89
2016,1.01
2017,0.92
2018,0.85
2019,0.97
2020,1.0
2021,0.84
2022,0.89
2023,1.17
2024,1.061661674334632
2025,1.0899216255374764
2026,1.1181815767403211
2027,1.1464415279431652
2028,1.1747014791460104
2029,1.2029614303488543
2030,1.2312213815516992
2031,1.2594813327545442
2032,1.2877412839573885
2033,1.3160012351602333
2034,1.3442611863630776
2035,1.3725211375659223
2036,1.4007810887687666
2037,1.4290410399716114
2038,1.4573009911744557
2039,1.4855609423773004
2040,1.5138208935801456
2041,1.5420808447829897
2042,1.5703407959858349
2043,1.5986007471886787
2044,1.626860698391524
2045,1.655120649594368
2046,1.683380600797213
2047,1.711640552000058
2048,1.739900503202902
2049,1.768160454405747
2050,1.7964204056085913
2051,1.8246803568114358
2052,1.8529403080142801
2053,1.8812002592171253
2054,1.9094602104199698
2055,1.9377201616228141
2056,1.9659801128256589
2057,1.9942400640285027
2058,2.022500015231348
2059,2.050759966434192
2060,2.0790199176370368
2061,2.107279868839882
2062,2.135539820042726
2063,2.1637997712455714
2064,2.1920597224484153
2065,2.22031967365126
2066,2.248579624854104
2067,2.2768395760569495
2068,2.3050995272597934
2069,2.333359478462638
2070,2.3616194296654838
2071,2.3898793808683267
2072,2.4181393320711724
2073,2.4463992832740162
2074,2.474659234476862
2075,2.5029191856797057
2076,2.5311791368825505
2077,2.559439088085395
2078,2.587699039288239
2079,2.615958990491084
2080,2.6442189416939286
2081,2.6724788928967733
2082,2.700738844099618
2083,2.728998795302463
2084,2.7572587465053076
2085,2.7855186977081514
2086,2.813778648910997
2087,2.842038600113841
2088,2.8702985513166857
2089,2.8985585025195304
2090,2.926818453722375
2091,2.95507840492522
2092,2.9833383561280646
2093,3.0115983073309094
2094,3.039858258533754
2095,3.068118209736598
2096,3.0963781609394427
2097,3.1246381121422875
2098,3.1528980633451313
2099,3.181158014547977
2100,3.2094179657508217
